Index,Question,Expected Answer,Source
1,What teams are structured under the Database Excellence Stage?,The Database Excellence Stage is composed of the Database Architecture Team. The Database Excellence Stage is composed of the Database Automation Team. The Database Excellence Stage is composed of the Database Framework Group. The Database Excellence Stage is composed of the Database Health Team. The Database Excellence Stage is composed of the Database Operations Team.,handbook/engineering/data-engineering-and-monetization/database-excellence-stage
2,Which teams r in Database Excellence Stage?,The Database Excellence Stage is composed of the Database Architecture Team. The Database Excellence Stage is composed of the Database Automation Team. The Database Excellence Stage is composed of the Database Framework Group. The Database Excellence Stage is composed of the Database Health Team. The Database Excellence Stage is composed of the Database Operations Team.,handbook/engineering/data-engineering-and-monetization/database-excellence-stage
3,What teans are structured under the Databse Excellence Stage?,The Database Excellence Stage is composed of the Database Architecture Team. The Database Excellence Stage is composed of the Database Automation Team. The Database Excellence Stage is composed of the Database Framework Group. The Database Excellence Stage is composed of the Database Health Team. The Database Excellence Stage is composed of the Database Operations Team.,handbook/engineering/data-engineering-and-monetization/database-excellence-stage
4,What distinct strategies are outlined for mitigating risk in customer accounts by Customer Success Managers?,A key strategy outlined for CSMs is Helping Customers Decide to Migrate to SaaS.,handbook/sales/customer-success/csm-strategies-for-mitigating-risk
5,What are the specific stages of the Professional Services delivery methodology?,The methodology includes Archetype Definition. The methodology includes Backlog Management. The methodology includes Definition of Done. The methodology includes Definition of Ready. The methodology includes Discovery. The methodology includes GitLab Best Practices. The methodology includes Good Estimation Techniques. The methodology includes Good User Stories. The methodology includes Iteration 0. The methodology includes Iteration Planning. The methodology includes Iteration Scheduling. The methodology includes Risk Management. The methodology includes Retrospectives.,handbook/professional-services-team/professional-services-delivery-methodology
6,Which teams are classified under the Create Stage for source code?,The Create Stage includes the Create:Source Code BE Team. The Create Stage includes the Create:Source Code FE Team.,handbook/engineering/devops-engineering/create/source-code-teams
7,What functional roles are associated with the Dev Career Framework for Frontend Engineers?,The framework identifies the role of Intermediate Frontend Engineer. The framework identifies the role of Senior Frontend Engineer. The framework identifies the role of Staff Frontend Engineer.,handbook/engineering/career-framework/development-department/frontend
8,What components are included in the Production Engineering Networking and Incident Management team's procedures?,The procedures include Disaster Recovery Practice (DR Gamedays). The procedures include EOC Onboarding Buddies. The procedures include EOC Shadow and Buddy Expectations. The procedures include On-call handover. The procedures include AI prompts. The procedures include SRE Onboarding.,handbook/engineering/infrastructure/production/production-engineering-networking-and-incident-management
9,What specific data guides are maintained by the Enterprise Data Team?,The guides encompass Data Quality. The guides encompass the Data Quality Program. The guides encompass Data Stewardship Practices. The guides encompass the Data Management Page. The guides encompass Incident Management. The guides encompass the Enterprise Data Catalog.,handbook/enterprise-data-team/data-governance/data-guides
10,What metrics and processes are managed by Financial Planning & Analysis?,FP&A manages Adaptive Insights. FP&A manages Corporate FP&A. FP&A manages FP&A Definitions. FP&A manages FP&A Metrics. FP&A manages FP&A Processes. FP&A manages FP&A Team Structure. FP&A manages G&A Finance. FP&A manages the GTM Analytics Hub. FP&A manages Headcount Metrics. FP&A manages R&D Finance.,handbook/finance/financial-planning-and-analysis
11,Which regions have specific entity-specific employment policies documented?,Specific employment policies are documented for Germany (GmbH). Specific employment policies are documented for Spain (Iberia s.r.l.). Specific employment policies are documented for India (Private Limited). Specific employment policies are documented for Israel (Ltd.).,handbook/legal-and-corporate-affairs/entity-specific-information
12,What are the core topics included in the Channel Partner Program for developing a GitLab practice?,Core topics include the Channel Services Catalog. Core topics include Marketing Development Funds. Core topics include the Partner Champions Program. Core topics include Partner Enablement. Core topics include Partner Technical Presales Enablement.,handbook/sales/channel-partner-program/developing-your-gitlab-practice
13,What areas of specialization exist within the Developer Relations Engineering team?,Specializations include the Code Contributor Program. Specializations include Community pairing sessions. Specializations include the Core Team. Specializations include the Code Contributor User Journey. Specializations include Community Hackathons. Specializations include the Notable Contributor Selection Process. Specializations include the Innovation Pitch Competition. Specializations include the Merge Request Coach Lifecycle. Specializations include Metrics Dashboards. Specializations include Community Contributions Workflows.,handbook/marketing/developer-relations/developer-relations-engineering-team
14,What specific email processes are governed under Lifecycle Marketing?,Lifecycle Marketing governs Email Best Practices. Lifecycle Marketing governs Emails & Nurture Programs. Lifecycle Marketing governs overall Emails Processes.,handbook/marketing/lifecycle-marketing
15,What are the designated tiers in the Marketing Technology Tiering System?,The tiering system categorizes marketing operations tools. The tiering system includes 6sense. The tiering system includes Marketo. The tiering system includes Marketo Measure. The tiering system includes Cognism. The tiering system includes Iterable. The tiering system includes PathFactory. The tiering system includes Zoominfo. The tiering system includes Workato.,handbook/marketing/marketing-operations/marketing-technology-tiering-system
16,What onboarding structures are available for new hires via the People Group?,New hires are supported by GitLab Onboarding Buddies. New hires are supported by Merge Request Buddies. New hires are supported by TaNewKi Tips.,handbook/people-group/gitlab-onboarding
17,What specialized capabilities are required for the UX Department's Experience Research methods?,Capabilities involve Analyzing survey verbatim. Capabilities involve Comparative testing. Capabilities involve Diary studies. Capabilities involve Evaluating navigation. Capabilities involve First click testing. Capabilities involve Foundational research. Capabilities involve Kano Surveys. Capabilities involve Mental modeling. Capabilities involve Preference testing. Capabilities involve Problem validation. Capabilities involve RITE testing. Capabilities involve Usability benchmarking. Capabilities involve User story mapping.,handbook/product/ux-department/experience-research
18,What types of sales plays are utilized for CI/CD Go-To-Market strategies?,Go-To-Market strategies use sales plays such as Expand with Package. Go-To-Market strategies use sales plays such as Infrastructure Automation with GitOps. Go-To-Market strategies use sales plays such as the Upsell Premium to Ultimate message house. Go-To-Market strategies use sales plays such as the Upsell Premium to Ultimate sales play planner.,handbook/marketing/product-marketing/ci-cd-gtm-sales-plays
19,What specific device trust checks are mandated by Okta Security Policies?,The policies mandate Device Posture Checks for Android. The policies mandate Device Posture Checks for Chrome Device Trust. The policies mandate Device Posture Checks for iOS. The policies mandate Device Posture Checks for macOS. The policies mandate Device Posture Checks for Windows.,handbook/security/corporate-security/okta/okta-security-policies
20,Which support pods specialize in specific GitLab product areas?,Specialized pods include Advanced Search. Specialized pods include AI. Specialized pods include Authentication and Authorization. Specialized pods include CI/CD. Specialized pods include Code Contributions. Specialized pods include Database. Specialized pods include Documentation. Specialized pods include Geo. Specialized pods include GET. Specialized pods include Git and Gitaly. Specialized pods include Dedicated. Specialized pods include Runner. Specialized pods include Import. Specialized pods include Integrations. Specialized pods include Kubernetes. Specialized pods include Licensing and Renewals. Specialized pods include Performance and Reliability. Specialized pods include Sec. Specialized pods include Training. Specialized pods include Upgrade Support Pods.,handbook/support/support-pods
21,What are the various components of the laptop security configuration standards mandated during IT onboarding?,The laptop security configuration protocol includes setting up an Apple ID for Work. The laptop security configuration protocol includes managing backups. The laptop security configuration protocol includes ensuring disk encryption. The laptop security configuration protocol includes enabling firewalls. The laptop security configuration protocol includes restricting iCloud Drive. The laptop security configuration protocol includes setting passwords. The laptop security configuration protocol includes managing personal use. The laptop security configuration protocol includes configuring remote management. The laptop security configuration protocol includes updating software. The laptop security configuration protocol includes enabling Touch ID. The laptop security configuration protocol includes securing web browsers. The laptop security configuration protocol includes managing wireless networks. The laptop security configuration protocol includes locking unattended laptops. The laptop security configuration protocol includes vendor management. The laptop security configuration protocol includes defining the wipe/factory reset process.,handbook/security-at-gitlab/corporate-security/gitlab-laptop-management/laptop-security-configuration-standards
22,Whats included in laptop sec config standards for IT onboarding?,The laptop security configuration protocol includes setting up an Apple ID for Work. The laptop security configuration protocol includes managing backups. The laptop security configuration protocol includes ensuring disk encryption. The laptop security configuration protocol includes enabling firewalls. The laptop security configuration protocol includes restricting iCloud Drive. The laptop security configuration protocol includes setting passwords. The laptop security configuration protocol includes managing personal use. The laptop security configuration protocol includes configuring remote management. The laptop security configuration protocol includes updating software. The laptop security configuration protocol includes enabling Touch ID. The laptop security configuration protocol includes securing web browsers. The laptop security configuration protocol includes managing wireless networks. The laptop security configuration protocol includes locking unattended laptops. The laptop security configuration protocol includes vendor management. The laptop security configuration protocol includes defining the wipe/factory reset process.,handbook/security-at-gitlab/corporate-security/gitlab-laptop-management/laptop-security-configuration-standards
23,What are the varous componets of the laptop secrity configuration standards?,The laptop security configuration protocol includes setting up an Apple ID for Work. The laptop security configuration protocol includes managing backups. The laptop security configuration protocol includes ensuring disk encryption. The laptop security configuration protocol includes enabling firewalls. The laptop security configuration protocol includes restricting iCloud Drive. The laptop security configuration protocol includes setting passwords. The laptop security configuration protocol includes managing personal use. The laptop security configuration protocol includes configuring remote management. The laptop security configuration protocol includes updating software. The laptop security configuration protocol includes enabling Touch ID. The laptop security configuration protocol includes securing web browsers. The laptop security configuration protocol includes managing wireless networks. The laptop security configuration protocol includes locking unattended laptops. The laptop security configuration protocol includes vendor management. The laptop security configuration protocol includes defining the wipe/factory reset process.,handbook/security-at-gitlab/corporate-security/gitlab-laptop-management/laptop-security-configuration-standards
24,How is the Snowflake data platform governed and optimized by the Enterprise Data Team?,The optimization involves Clustering in Snowflake. The optimization involves the Cortex AI Credit Monitoring System. The optimization involves Snowflake AI Functions for Usage and Cost Management. It also includes configuring SNS integration for Snowflake SnowPipe. It also includes handling task failures. It also includes executing Snowflake warehouse optimization.,handbook/enterprise-data-team/data-platform/snowflake-guide
25,What guidelines and rules govern the use and integration of AI functionalities from a legal perspective?,The Legal team governs these integrations using multiple versions of AI Functionality Terms. The Legal team governs these integrations using V1. The Legal team governs these integrations using V2. The Legal team governs these integrations using V3. The Legal team governs these integrations using V4. The Legal team enforces the GitLab Duo AI Terms. The Legal team aligns product development with the GitLab AI Ethics Principles.,handbook/legal-and-corporate-affairs/commercial-legal/ai-functionality-terms
26,What frameworks and tools are utilized by the Corporate Security End User Services for application provisioning?,They provision access through Google Workspace. They provision access through Google Calendar. They provision access through Google Groups. They provision access through Gmail. They provision access through Reclaim.ai. They provision access through Zoom. They support 1Password. They support Jamf MDM policies. They support Okta device posture checks. They use these tools to ensure secure access control.,handbook/security/corporate-security/end-user-services
27,What are the required security configuration standards for corporate laptops managed by IT?,Configuration standards mandate the use of an Apple ID for Work. Configuration standards mandate the use of an Apple ID for Laptop Backups. Configuration standards mandate the use of an Apple ID for Disk Encryption. Configuration standards mandate the use of an Apple ID for Firewalls. The standards also require configuring iCloud Drive. The standards also require configuring Passwords. The standards also require configuring Remote Management and Monitoring. The standards also require configuring Software Updates. The standards also require configuring Touch ID Biometrics. The standards also require locking the laptop when unattended.,handbook/security/corporate-security/laptop-management
28,What operational responsibilities fall under the Vulnerability Management Team's standard procedures?,Their responsibilities include Closing Vulnerability Tracking Issues. Their responsibilities include tracking Development Labels. Their responsibilities include managing the Vulnerability Lifecycle. They also focus on Vulnerability Management Automation. They also focus on enforcing Code Review Standards. They also focus on conducting Weekly Triage. They also focus on adhering to Vulnerability Resolution SLAs.,handbook/security/security-assurance/vulnerability-management
29,How does the Solutions Architecture Center of Excellence structure its technical discovery and proof of value initiatives?,The structure utilizes Demo Architect Offerings. The structure utilizes Hands-on Workshops. The structure utilizes specific Proof of Value scopes. These scopes encompass Artificial Intelligence. These scopes encompass Automated Software Delivery. These scopes encompass DevOps Platform. These scopes encompass DevSecOps. These scopes encompass Software Compliance. The scopes are operated alongside standard RFI/RFP processes.,handbook/sales/solutions-architecture-center-of-excellence
30,What processes dictate the handling of software licensing and renewals for Self-Managed environments?,Workflows include managing cloud licensing and support exemptions. Workflows include creating license keys for wider communities. Workflows include handling GCP Marketplace licenses. The team also handles flagged provisioning failures. The team also handles multi-year subscriptions. The team also handles weekend emergencies regarding Self-Managed License Requests.,handbook/support/licensing-and-renewals/self-managed
31,What are the key stages of the Product Development Flow utilized by Product Management?,The primary stages involve Issue Triage. The primary stages involve using Feature flags in development. The primary stages involve applying Phase templates. The primary stages involve executing the Product Development Budgeting Process. It also necessitates defining Roles and Responsibilities. It also necessitates ensuring R&D Interlock. It also necessitates maintaining a Healthy Backlog.,handbook/product/product-development-flow
32,How is Field Operations structured to support Sales strategy and GTM enablement?,Field Operations is structured across Business Operations for Salesforce. Field Operations is structured across Customer Success Operations tracking CSAT and Newsletters. Field Operations is structured across Gainsight Administration. Field Operations also includes Field Enablement for Go-To-Market motions. Field Operations also includes Sales Operations handling Deal Desks. Field Operations also includes the Sales Strategy and Analytics division.,handbook/sales/field-operations
33,What are the foundational elements of the Engineering Career Framework across different seniority levels?,The career framework outlines progression from Intern to Associate. The career framework outlines progression from Associate to Intermediate. The career framework outlines progression from Intermediate to Senior. The career framework outlines progression from Senior to Staff. The career framework outlines progression from Staff to Senior Staff. The career framework outlines progression from Senior Staff to Principal. It provides specific matrices for backend Software Engineers. It provides specific matrices for frontend Software Engineers. It provides specific matrices for fullstack Software Engineers. It provides specific matrices for distribution Software Engineers. It provides specific matrices for Quality Department Software Engineers in Test.,handbook/engineering/career-framework
